date, symbol, reportedCurrency, cik, fillingDate, acceptedDate, calendarYear, period, netIncome, depreciationAndAmortization, deferredIncomeTax, stockBasedCompensation, changeInWorkingCapital, accountsReceivables, inventory, accountsPayables, otherWorkingCapital, otherNonCashItems, netCashProvidedByOperatingActivities, investmentsInPropertyPlantAndEquipment, acquisitionsNet, purchasesOfInvestments, salesMaturitiesOfInvestments, otherInvestingActivites, netCashUsedForInvestingActivites, debtRepayment, commonStockIssued, commonStockRepurchased, dividendsPaid, otherFinancingActivites, netCashUsedProvidedByFinancingActivities, effectOfForexChangesOnCash, netChangeInCash, cashAtEndOfPeriod, cashAtBeginningOfPeriod, operatingCashFlow, capitalExpenditure, freeCashFlow, link, finalLink
12/31/23,ROP,USD,0000882835,2/22/24,2/22/24 17:05,2023,FY,1368400000.00,755200000.00,374700000.00,123500000.00,-428900000.00,-57700000.00,-6600000.00,18200000.00,-382800000.00,-157800000.00,2035100000.00,-108000000.00,-2052699999.00,-32500000.00,32500000.00,34399999.00,-2126300000.00,-340000000.00,130699999.00,209300001.00,-290200000.00,-209300000.00,-499500000.00,12200000.00,-578500000.00,214300000.00,792800000.00,2035100000.00,-108000000.00,1927100000.00,https://www.sec.gov/Archives/edgar/data/882835/000088283524000008/0000882835-24-000008-index.htm,https://www.sec.gov/Archives/edgar/data/882835/000088283524000008/rop-20231231.htm
12/31/22,ROP,USD,0000882835,2/27/23,2/27/23 16:48,2022,FY,985600000.00,650100000.00,296400000.00,118500000.00,14900000.00,2500000.00,-43100000.00,21300000.00,34200000.00,-1330900000.00,734600000.00,-70300000.00,-4280100000.00,0.00,0.00,5559900000.00,1209500000.00,-1270000000.00,14300000.00,0.00,-262300000.00,52700000.00,-1465300000.00,-37500000.00,441300000.00,792800000.00,351500000.00,734600000.00,-70300000.00,664300000.00,https://www.sec.gov/Archives/edgar/data/882835/000088283523000016/0000882835-23-000016-index.htm,https://www.sec.gov/Archives/edgar/data/882835/000088283523000016/rop-20221231.htm
12/31/21,ROP,USD,0000882835,2/22/22,2/22/22 17:02,2021,FY,982600000.00,634100000.00,282900000.00,123000000.00,97300000.00,-100200000.00,-13900000.00,46900000.00,164500000.00,-121100000.00,2011900000.00,-62600000.00,-217000000.00,0.00,0.00,136700000.00,-142900000.00,-500000000.00,15100000.00,-1092100000.00,-236400000.00,-100000.00,-1813500000.00,-12300000.00,43200000.00,351500000.00,308300000.00,2011900000.00,-62600000.00,1949300000.00,https://www.sec.gov/Archives/edgar/data/882835/000088283522000012/0000882835-22-000012-index.htm,https://www.sec.gov/Archives/edgar/data/882835/000088283522000012/rop-20211231.htm
12/31/20,ROP,USD,0000882835,2/22/21,2/22/21 08:59,2020,FY,949700000.00,520800000.00,259600000.00,108300000.00,197100000.00,53300000.00,4600000.00,82300000.00,56900000.00,-523800000.00,1525100000.00,-48900000.00,-6022400000.00,0.00,0.00,-2600000.00,-6073900000.00,-600000000.00,10500000.00,4984400000.00,-214100000.00,-43900000.00,4136900000.00,10500000.00,-401400000.00,308300000.00,709700000.00,1525100000.00,-48900000.00,1476200000.00,https://www.sec.gov/Archives/edgar/data/882835/000088283521000011/0000882835-21-000011-index.htm,https://www.sec.gov/Archives/edgar/data/882835/000088283521000011/rop-20201231.htm
12/31/19,ROP,USD,0000882835,2/28/20,2/28/20 14:02,2019,FY,1767900000.00,416000000.00,-726700000.00,101200000.00,-84800000.00,-46700000.00,-17300000.00,-24200000.00,3400000.00,-15100000.00,1461800000.00,-62900000.00,-1230500000.00,0.00,0.00,-2600000.00,-1296000000.00,-322900000.00,6800000.00,-322900000.00,-191700000.00,1007700000.00,177000000.00,2500000.00,345300000.00,709700000.00,364400000.00,1461800000.00,-62900000.00,1398900000.00,https://www.sec.gov/Archives/edgar/data/882835/000088283520000006/0000882835-20-000006-index.htm,https://www.sec.gov/Archives/edgar/data/882835/000088283520000006/a201910-kdoc.htm
