date, symbol, calendarYear, period, growthNetIncome, growthDepreciationAndAmortization, growthDeferredIncomeTax, growthStockBasedCompensation, growthChangeInWorkingCapital, growthAccountsReceivables, growthInventory, growthAccountsPayables, growthOtherWorkingCapital, growthOtherNonCashItems, growthNetCashProvidedByOperatingActivites, growthInvestmentsInPropertyPlantAndEquipment, growthAcquisitionsNet, growthPurchasesOfInvestments, growthSalesMaturitiesOfInvestments, growthOtherInvestingActivites, growthNetCashUsedForInvestingActivites, growthDebtRepayment, growthCommonStockIssued, growthCommonStockRepurchased, growthDividendsPaid, growthOtherFinancingActivites, growthNetCashUsedProvidedByFinancingActivities, growthEffectOfForexChangesOnCash, growthNetChangeInCash, growthCashAtEndOfPeriod, growthCashAtBeginningOfPeriod, growthOperatingCashFlow, growthCapitalExpenditure, growthFreeCashFlow,
12/31/23,ROP,2023,FY,0.38839285714285715,0.1616674357791109,0.26,0.04,-29.79,-24.08,0.8468677494199536,-0.15,-12.19,0.8814336163498384,1.7703512115436972,-0.54,0.5204084019064975,0.00,0.00,-0.99,-2.76,0.7322834645669292,8.14,0.00,-0.11,-4.97,0.66,1.3253333333333333,-2.31,-0.73,1.2554765291607397,1.7703512115436972,-0.54,1.9009483667017915,
12/31/22,ROP,2022,FY,0.00,0.025232613152499604,0.05,-0.04,-0.85,1.0249500998003993,-2.10,-0.55,-0.79,-9.99,-0.63,-0.12,-18.72,0.00,0.00,39.67227505486467,9.463960811756474,-1.54,-0.05,1.00,-0.11,528.00,0.19200441135925006,-2.05,9.215277777777779,1.2554765291607397,0.14012325656827765,-0.63,-0.12,-0.66,
12/31/21,ROP,2021,FY,0.034642518690112666,0.21754992319508448,0.09,0.13573407202216067,-0.51,-2.88,-4.02,-0.43,1.89,0.7688048873615884,0.3191921841190742,-0.28,0.9639678533475027,0.00,0.00,53.57692307692308,0.9764731062414593,0.16666666666666666,0.4380952380952381,-1.22,-0.10,0.9977220956719818,-1.44,-2.17,1.1076233183856503,0.14012325656827765,-0.57,0.3191921841190742,-0.28,0.32048502912884436,
12/31/20,ROP,2020,FY,-0.46,0.2519230769230769,1.3572313196642356,0.07,3.3242924528301887,2.1413276231263385,1.2658959537572254,4.400826446280992,15.735294117647058,-33.69,0.04,0.22257551669316375,-3.89,0.00,0.00,0.00,-3.69,-0.86,0.5441176470588235,16.43635800557448,-0.12,-1.04,22.37231638418079,3.20,-2.16,-0.57,0.9475850713501647,0.04,0.22257551669316375,0.06,
12/31/19,ROP,2019,FY,0.8719822109275731,0.1335149863760218,-46.70,0.00,-1.69,0.4407185628742515,0.20642201834862386,-1.35,-0.32,-31.20,0.02,-0.07,0.035507132779432515,0.00,0.00,-2.71,0.029286195790577486,0.8106158357771261,0.25925925925925924,-1.21,0.00,35.748275862068965,1.4560680237052306,1.181159420289855,2.1251221896383186,0.9475850713501647,-0.46,0.02,-0.07,0.02,
